soc_id,lat,lng,Preferred_name,line_1,line_2,line_3,line_4,line_5,line_6,line_7,line_8,line_9,line_10,line_11,line_12,line_13,line_14,line_15,line_16,line_17,line_18,line_19,line_20,line_21,line_22,line_23,line_24,line_25,line_26,line_27,line_28,line_29,line_30,line_31,line_32,line_33,line_34,line_35,line_36,line_37
50245,53.14,-9.77,Aran Islands,0.08,1.0,0.82,0.25,0.0,0.0,1.0,0.75,0.25,1.0,0.43,0.0,0.5,0.71,0.67,0.83,0.83,0.4,0.67,0.75,0.4,0.0,0.75,0.83,0.5,1.0,1.0,1.0,1.0,1.0,0.33,0.75,1.0,0.5,0.25,0.6,0.25
50246,51.9,-8.95,Cork,0.08,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.43,0.0,0.0,0.0,0.67,0.33,0.67,0.4,0.33,0.75,0.4,0.0,0.75,0.67,0.25,0.4,0.0,1.0,0.5,0.25,1.0,0.75,0.71,0.83,1.0,0.8,0.5
50247,55.04,-8.22,Donegal,0.08,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.83,0.33,0.7,0.0,0.5,0.4,0.0,0.5,0.17,0.25,0.0,0.0,0.8,0.0,0.0,1.0,0.25,0.71,1.0,1.0,0.8,0.75
50248,53.92,-7.86,Leitrim,0.08,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.43,0.0,0.0,0.0,0.67,0.42,0.33,0.4,0.33,0.75,0.4,0.0,0.75,0.33,0.5,0.4,1.0,0.8,1.0,0.5,1.0,0.75,0.43,0.33,0.5,0.6,0.25
50249,53.27,-9.05,Galway,0.08,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.33,0.33,0.4,0.67,0.75,0.2,0.0,0.25,0.17,0.25,0.0,1.0,0.8,0.0,0.0,1.0,0.75,0.43,0.33,0.25,0.8,0.75
50250,53.92,-8.03,Dublin,0.08,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.43,0.0,0.0,0.0,0.67,0.42,0.33,0.7,0.67,0.75,0.4,0.0,0.75,0.67,0.5,0.4,0.0,1.0,1.0,0.25,0.33,0.5,0.43,0.33,0.25,0.6,0.5
50251,45.53,20.21,Kumane,0.08,0.62,0.09,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.43,0.0,0.5,0.0,0.67,0.42,0.33,0.2,0.33,0.25,0.4,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.33,0.75,0.86,0.83,1.0,0.8,0.5
50252,43.56,22.13,Vasilj,0.42,0.12,0.09,0.5,0.75,0.75,1.0,0.0,0.0,0.0,0.43,0.14,0.5,0.0,0.67,0.67,0.33,0.9,0.33,0.25,0.4,0.0,0.5,0.83,0.75,1.0,1.0,0.8,0.5,0.0,1.0,0.75,0.86,1.0,1.0,0.2,0.5
50254,50.11,7.3,Palatine,0.42,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,1.0,0.43,0.14,0.0,0.0,0.67,0.17,0.17,1.0,0.0,0.5,0.4,0.0,1.0,0.17,0.25,0.4,1.0,1.0,1.0,1.0,1.0,0.75,0.43,0.83,0.5,0.6,0.5
50255,50.82,6.31,Lothringen,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.67,0.42,0.33,0.4,0.33,0.5,0.4,0.0,0.5,0.33,0.25,0.2,1.0,1.0,0.5,0.0,1.0,0.5,0.71,0.33,0.75,0.6,0.5
50256,46.47,18.55,Tolna,0.08,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.42,0.33,0.7,0.67,0.5,0.6,0.0,1.0,0.67,0.5,0.4,1.0,1.0,0.5,0.0,1.0,0.5,0.86,0.5,0.5,0.6,0.25
