"","soc_id.strat","xd_id.x","soc_id.canto","pref_name_for_society.x","Glottocode","SocialFactors_V33_code","line_23","line_4","line_22","Society_latitude","Society_longitude","Language_family","line23_col","stratification_col","line4_col","line22_col"
"695","Ig15","xd847",26467,"Bakovi","bola1250",NA,1024,16,2,-5.43,149.66,"Austronesian","#C52B2F",NA,"#F6C3C3","#88C1CA"
"696",NA,NA,26489,NA,"nucl1729",NA,128,16,2,27.67,85.63,"Sino-Tibetan","#F1635B",NA,"#F6C3C3","#88C1CA"
"697","Eh3","xd689",26522,"Tanala","tana1285","4",8192,8192,256,-22.15,48.03,"Austronesian","#5E9AC4","#F1635B","#C52B2F","#F6C3C3"
"698","Eh7","xd693",26533,"Antandroy","tand1256","4",8192,8192,2,-24.81,45.15,"Austronesian","#5E9AC4","#F1635B","#C52B2F","#88C1CA"
"699",NA,NA,26566,NA,"tann1242",NA,8192,128,2,-19.51,169.33,"Austronesian","#5E9AC4",NA,"#88C1CA","#88C1CA"
"700","Nh6","xd1282",26577,"Taos","taos1236","1",8192,16,2,36.47,-105.56,"Kiowa-Tanoan","#5E9AC4","#5E9AC4","#F6C3C3","#88C1CA"
"701","Sd2","xd1354",26588,"Tapirapé","tapi1254","1",8192,16,2,-10.54,-50.54,"Tupian","#5E9AC4","#5E9AC4","#F6C3C3","#88C1CA"
"702",NA,NA,26599,NA,"tara1321",NA,8192,16,2,27.56,-107.15,"Uto-Aztecan","#5E9AC4",NA,"#F6C3C3","#88C1CA"
"703","Nj8","xd1307",26610,"Tarasco","pure1242",NA,8192,8192,256,19.98,-101.71,"Tarascan","#5E9AC4",NA,"#C52B2F","#F6C3C3"
"704",NA,NA,26632,NA,"huli1244",NA,1024,128,2,-3.76,138.69,"Nuclear Trans New Guinea","#C52B2F",NA,"#88C1CA","#88C1CA"
"705",NA,NA,26654,NA,"tata1255",NA,16,16,2,55.55,50.93,"Turkic","#F6C3C3",NA,"#F6C3C3","#88C1CA"
"706","Sg4","xd1386",26731,"Tehuelche","tehu1242","2",8192,16,2,-47.58,-68.32,"Chonan","#5E9AC4","#88C1CA","#F6C3C3","#88C1CA"
"707",NA,NA,26797,NA,"xhos1239",NA,8192,8192,256,-31.61,29.51,"Atlantic-Congo","#5E9AC4",NA,"#C52B2F","#F6C3C3"
"708",NA,NA,26808,NA,"temi1246",NA,128,1024,2,4.97,101.44,"Austroasiatic","#F1635B",NA,"#5E9AC4","#88C1CA"
"709","Ne8","xd1227",26940,"Teton","lako1247","2",8192,128,2,46.37,-103.95,"Siouan","#5E9AC4","#88C1CA","#88C1CA","#88C1CA"
"710","Ej9","xd731",26973,"Thai","thai1261","2",16,16,2,17.75,104.68,"Tai-Kadai","#F6C3C3","#88C1CA","#F6C3C3","#88C1CA"
"711",NA,NA,26984,NA,"tong1308",NA,1024,16,2,6.88,100.11,"Austroasiatic","#C52B2F",NA,"#F6C3C3","#88C1CA"
"712",NA,NA,26995,NA,"chit1274",NA,2,16,2,27.58,84.41,"Indo-European","#88C1CA",NA,"#F6C3C3","#88C1CA"
"713",NA,NA,27017,NA,"tong1316",NA,8192,16,2,-11.38,33.91,"Atlantic-Congo","#5E9AC4",NA,"#F6C3C3","#88C1CA"
"714",NA,NA,27028,NA,"tibe1272",NA,128,16,2,29.64,91.11,"Sino-Tibetan","#F1635B",NA,"#F6C3C3","#88C1CA"
"715",NA,NA,27050,NA,"tigr1270",NA,128,16,2,17.35,38.22,"Afro-Asiatic","#F1635B",NA,"#F6C3C3","#88C1CA"
"716","Ca3","xd437",27061,"Tigrinya","tigr1271","5",1024,16,2,15.34,38.93,"Afro-Asiatic","#C52B2F","#C52B2F","#F6C3C3","#88C1CA"
"717","Ii2","xd881",27083,"Tikopia","tiko1237","3",8192,128,2,-12.28,168.82,"Austronesian","#5E9AC4","#F6C3C3","#88C1CA","#88C1CA"
"718",NA,NA,27116,NA,"kema1243",NA,8192,8192,8192,-9.86,124.33,"Austronesian","#5E9AC4",NA,"#C52B2F",NA
"719","Ig3","xd855",27132,"Kurtatchi","tinp1237","3",8192,8192,8192,-6.24,155.38,"Austronesian","#5E9AC4","#F6C3C3","#C52B2F",NA
"720","Ah3","xd320",27160,"Tiv","tivv1240","2",128,16,2,6.88,9.26,"Atlantic-Congo","#F1635B","#88C1CA","#F6C3C3","#88C1CA"
"721",NA,NA,27204,NA,"toar1246",NA,128,128,2,-8.07,146.21,"Eleman","#F1635B",NA,"#88C1CA","#88C1CA"
"722","Sh8","xd1395",27215,"Toba","toba1269","1",8192,128,2,-24.41,-60.45,"Guaicuruan","#5E9AC4","#5E9AC4","#88C1CA","#88C1CA"
"723",NA,NA,27226,NA,"toba1282",NA,8192,8192,256,11.21,-60.69,"Indo-European","#5E9AC4",NA,"#C52B2F","#F6C3C3"
"724",NA,NA,27248,NA,"trin1276",NA,8192,16,2,10.83,-60.94,"Indo-European","#5E9AC4",NA,"#F6C3C3","#88C1CA"
"725","Eg4","xd680",27259,"Toda","toda1252","1",1024,128,2,11.42,77.02,"Dravidian","#C52B2F","#5E9AC4","#88C1CA","#88C1CA"
"726",NA,NA,27286,NA,"kuan1248",NA,8192,16,2,-4.31,152.11,"Austronesian","#5E9AC4",NA,"#F6C3C3","#88C1CA"
"727","Nb6","xd1103",27303,"Tolowa","tolo1259","3",128,16,2,41.92,-124.12,"Athapaskan-Eyak-Tlingit","#F1635B","#F6C3C3","#F6C3C3","#88C1CA"
"728","Af11","xd188",27314,"Toma","toma1245","2",8192,8192,256,9.94,-9.69,"Mande","#5E9AC4","#88C1CA","#C52B2F","#F6C3C3"
"729","Ii12","xd878",27340,"Tongans","tong1325","3",8192,8192,256,-21.17,-175.25,"Austronesian","#5E9AC4","#F6C3C3","#C52B2F","#F6C3C3"
"730","Ae26","xd145",27369,"Topoke","poke1238","4",8192,8192,2,0.74,23.91,"Atlantic-Congo","#5E9AC4","#F1635B","#C52B2F","#88C1CA"
"731",NA,NA,27391,NA,"mang1405",NA,1024,128,2,-8.58,120.15,"Austronesian","#C52B2F",NA,"#88C1CA","#88C1CA"
