"","soc_id.ea","xd_id","soc_id.canto","pref_name_for_society","Glottocode","stratification","gender_complementarity","line_23","line_4","line_22","Society_latitude","Society_longitude","line23_col","stratification_col","line4_col","line22_col","gender_col"
"977","Ci9","xd585",62462,"Svan","svan1243",NA,NA,8192,8192,1024,42.94,42.7,"#C52B2F",NA,"#C52B2F","#5E9AC4",NA
"979","Ci8","xd584",62464,"Georgians","imer1248",4,NA,128,16,2,42.18,42.95,"#88C1CA","#F1635B","#F6C3C3","#88C1CA",NA
"987","Cj6","xd592",62488,"Jordanians","sout3123",5,NA,128,16,2,31.5,34.46,"#88C1CA","#C52B2F","#F6C3C3","#88C1CA",NA
"1003","Nj11","xd1297",62504,"Huastec","huas1242",NA,NA,8192,16,2,22,-99.01,"#C52B2F",NA,"#F6C3C3","#88C1CA",NA
"1014","Nd2","xd1152",62526,"Southern Ute","utee1244",1,1,128,16,2,38.28,-109.01,"#88C1CA","#5E9AC4","#F6C3C3","#88C1CA","#5E9AC4"
"1015","Nd49","xd1184",62526,"Antarianunts","utee1244",1,5,128,16,2,38.28,-109.01,"#88C1CA","#5E9AC4","#F6C3C3","#88C1CA","#C52B2F"
"1016","Nd50","xd1186",62526,"Panguitch","utee1244",1,5,128,16,2,38.28,-109.01,"#88C1CA","#5E9AC4","#F6C3C3","#88C1CA","#C52B2F"
"1017","Nd57","xd1193",62526,"Pahvant","utee1244",1,1,128,16,2,38.28,-109.01,"#88C1CA","#5E9AC4","#F6C3C3","#88C1CA","#5E9AC4"
"1018","Nd58","xd1194",62526,"Uintah Ute","utee1244",1,1,128,16,2,38.28,-109.01,"#88C1CA","#5E9AC4","#F6C3C3","#88C1CA","#5E9AC4"
"1019","Nd59","xd1195",62526,"Moanunts","utee1244",1,1,128,16,2,38.28,-109.01,"#88C1CA","#5E9AC4","#F6C3C3","#88C1CA","#5E9AC4"
"1020","Nd60","xd1197",62526,"Moache","utee1244",1,1,128,16,2,38.28,-109.01,"#88C1CA","#5E9AC4","#F6C3C3","#88C1CA","#5E9AC4"
"1021","Nd61","xd1198",62526,"Taviwatsiu","utee1244",1,1,128,16,2,38.28,-109.01,"#88C1CA","#5E9AC4","#F6C3C3","#88C1CA","#5E9AC4"
"1022","Nd62","xd1199",62526,"Uncompahgre Ute","utee1244",1,1,128,16,2,38.28,-109.01,"#88C1CA","#5E9AC4","#F6C3C3","#88C1CA","#5E9AC4"
"1023","Cb26","xd476",62527,"Zazzagawa Hausa","araw1280",5,2,128,16,2,11.15,8.78,"#88C1CA","#C52B2F","#F6C3C3","#88C1CA","#88C1CA"
"1024","Cb25","xd475",62528,"Tazarawa","haus1257",2,NA,16,8192,64,11.15,8.78,"#F6C3C3","#88C1CA","#C52B2F","#F1635B",NA
