soc_id,Code_1,Code_2,Code_3,Code_4,Code_5,Code_6,Code_7,Code_8,Code_9,categories
Af57,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
Af58,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
Af6,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2
Af7,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2
Af8,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2
Af9,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2
Ag1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
Ag10,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
Ag11,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
Ag12,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
Ag13,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
Ag14,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
Ag15,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
Ag16,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1
Ag17,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1
Ag18,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
Ag19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0
Ag2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
Ag20,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
Ag21,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
Ag22,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
Ag23,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
Ag24,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
Ag25,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
Ag26,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
Ag27,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2
Ag28,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
Ag29,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
Ag3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
Ag30,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2
Ag31,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2
Ag32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0
Ag33,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
Ag34,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
Ag35,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,2
Ag36,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
Ag37,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
Ag38,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
Ag39,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,1
